Tamaño=4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
Profundidad=0	0.5	1	1.5	2	2.5	3	3.5	4	4.5	5	5.5	6	6.5	7	7.5	8	8.5	9	9.5	10	10.5	11	11.5	12	12.5	13	13.5	14	14.5	15	15.5	16	16.5	17	17.5	18	18.5	19	19.5	20	20.5	21	21.5	22	22.5	23	23.5	24	24.5	25	25.5	26	26.5	27	27.5	28	28.5	29	29.5

86.63	87.16	87.45	87.95	88.56	88.98	89.62	89.64	89.86	90.00	90.23	90.56	90.62	90.74	90.86	90.98	91.10	91.23	91.33	91.41	91.49	91.54	91.68	91.78	91.89	91.99	92.07	92.25	92.26	92.34	92.39	92.44	92.50	92.55	92.55	92.55	92.48
84.93	85.40	85.68	86.21	86.84	87.22	87.86	88.07	88.49	88.60	88.79	89.10	89.17	89.33	89.49	89.65	89.81	90.00	90.12	90.22	90.33	90.40	90.58	90.65	90.74	90.82	90.87	91.01	91.04	91.14	91.22	91.30	91.40	91.49	91.52	91.54	91.52
83.27	83.51	84.22	84.80	85.49	85.89	86.55	86.70	87.09	87.24	87.50	87.89	87.97	88.11	88.25	88.39	88.53	88.71	88.81	88.90	88.98	89.04	89.22	89.30	89.42	89.54	89.63	89.81	89.88	89.96	90.03	90.09	90.18	90.27	90.30	90.35	90.35
81.41	81.71	82.44	83.01	83.71	84.18	84.90	85.11	85.59	85.73	85.96	86.32	86.33	86.58	86.76	86.93	87.11	87.34	87.46	87.58	87.69	87.79	88.00	88.05	88.20	88.31	88.39	88.57	88.65	88.75	88.84	88.93	89.04	89.17	89.18	89.22	89.25
79.60	80.01	80.85	81.53	82.32	82.71	83.35	83.54	84.01	84.16	84.43	84.74	84.90	85.18	85.40	85.62	85.83	86.13	86.24	86.34	86.45	86.53	86.69	86.80	86.98	87.13	87.24	87.46	87.58	87.65	87.71	87.77	87.85	87.91	87.95	87.99	88.10
78.19	78.57	79.34	79.94	80.68	81.22	81.99	82.23	82.75	82.93	83.22	83.56	83.74	83.98	84.17	84.36	84.56	84.84	84.97	85.10	85.24	85.35	85.53	85.68	85.83	85.96	86.06	86.25	86.37	86.46	86.56	86.65	86.76	86.86	86.95	86.98	86.68
76.06	76.75	77.56	78.31	79.19	79.60	80.26	80.53	81.12	81.36	81.70	82.09	82.34	82.60	82.83	83.06	83.28	83.61	83.76	83.90	84.04	84.15	84.34	84.50	84.63	84.75	84.85	85.03	85.15	85.21	85.34	85.44	85.56	85.67	85.79	85.79	85.87
74.39	74.98	75.75	76.61	77.60	78.05	78.73	79.09	79.79	80.09	80.45	80.85	81.14	81.38	81.59	81.80	82.01	82.35	82.49	82.64	82.79	82.92	83.12	83.30	83.43	83.56	83.66	83.85	83.95	84.05	84.19	84.31	84.44	84.56	84.71	84.73	84.82
72.87	73.65	74.50	75.17	75.99	76.55	77.33	77.60	78.18	78.33	78.78	79.18	79.50	79.77	80.02	80.27	80.51	80.89	81.01	81.21	81.37	81.50	81.71	81.90	82.08	82.26	82.42	82.66	82.82	82.97	83.10	83.22	83.35	83.46	83.62	83.64	83.64
71.41	72.17	72.99	73.64	74.43	74.97	75.73	76.03	76.68	76.91	77.43	77.92	78.34	78.58	78.82	79.06	79.30	79.60	79.84	80.10	80.33	80.54	80.81	81.09	81.19	81.28	81.33	81.47	81.53	81.61	81.75	81.89	82.05	82.19	82.38	82.44	82.58
69.68	70.47	71.33	72.04	72.90	73.68	74.69	75.04	75.51	75.79	76.22	76.64	77.00	77.25	77.51	77.76	78.01	78.32	78.57	78.77	78.95	79.10	79.32	79.56	79.72	79.91	80.07	80.32	80.47	80.66	80.76	80.86	80.97	81.08	81.19	81.27	81.24
67.99	68.83	69.75	70.60	71.59	72.24	73.08	73.40	73.92	74.25	74.68	75.09	75.47	75.79	76.12	76.45	76.78	77.17	77.49	77.68	77.85	78.00	78.21	78.45	78.57	78.77	78.92	79.16	79.30	79.49	79.59	79.68	79.79	79.89	80.00	80.10	80.25
66.74	67.37	68.11	68.99	70.00	70.76	71.70	71.98	72.62	72.98	73.39	73.80	74.19	74.49	74.81	75.12	75.44	75.81	76.16	76.39	76.62	76.82	77.09	77.34	77.53	77.70	77.82	78.03	78.15	78.32	78.42	78.51	78.62	78.72	78.83	78.95	79.20
64.95	65.74	66.62	67.48	68.48	69.24	70.16	70.50	71.22	71.69	72.11	72.54	72.95	73.26	73.57	73.89	74.21	74.58	74.95	75.18	75.41	75.61	75.89	76.14	76.36	76.51	76.63	76.83	76.94	77.11	77.19	77.33	77.46	77.58	77.70	77.85	77.93
63.72	64.54	65.43	66.21	67.12	67.92	68.91	69.25	69.85	70.24	70.70	71.17	71.65	71.95	72.24	72.54	72.83	73.18	73.54	73.80	74.07	74.31	74.61	74.91	75.18	75.34	75.48	75.70	75.83	75.99	76.12	76.25	76.38	76.50	76.62	76.77	76.94
62.34	63.21	64.15	64.88	65.74	66.53	67.32	67.91	68.53	68.97	69.41	69.88	70.36	70.68	71.00	71.33	71.65	72.03	72.43	72.66	72.89	73.10	73.37	73.63	73.89	74.07	74.23	74.46	74.62	74.80	74.96	75.11	75.25	75.38	75.53	75.67	75.81
61.02	61.82	62.68	63.51	64.46	65.28	66.06	66.65	67.23	67.66	68.14	68.66	69.19	69.47	69.85	70.17	70.48	70.85	71.26	71.50	71.74	71.95	72.23	72.49	72.76	72.94	73.08	73.30	73.45	73.62	73.78	73.89	74.01	74.12	74.24	74.35	74.70
59.63	60.41	61.26	62.14	63.14	63.94	64.66	65.26	65.92	66.46	66.90	67.39	67.90	68.19	68.58	68.93	69.27	69.67	70.12	70.36	70.58	70.78	71.03	71.28	71.54	71.73	71.89	72.14	72.30	72.49	72.69	72.83	72.97	73.11	73.26	73.41	73.68
58.30	59.11	59.99	60.83	61.79	62.61	63.37	63.99	64.60	65.10	65.56	66.06	66.52	66.91	67.30	67.64	67.99	68.38	68.84	69.07	69.37	69.61	69.90	70.19	70.50	70.68	70.82	71.04	71.18	71.35	71.52	71.68	71.87	72.05	72.23	72.42	72.51
57.05	57.80	58.61	59.52	60.56	61.20	62.09	62.71	63.43	64.07	64.48	64.92	65.31	65.67	66.05	66.40	66.75	67.15	67.55	67.87	68.16	68.41	68.71	69.01	69.34	69.52	69.70	69.93	70.09	70.28	70.48	70.62	70.78	70.92	71.08	71.24	71.47
55.71	56.52	57.38	58.26	59.29	59.93	60.80	61.41	62.14	62.80	63.26	63.73	64.15	64.57	64.97	65.35	65.73	66.16	66.59	66.93	67.18	67.39	67.65	67.90	68.15	68.37	68.57	68.82	69.00	69.21	69.44	69.56	69.71	69.84	69.97	70.10	70.38
54.33	55.21	56.15	57.02	58.01	58.64	59.47	60.05	60.74	61.38	61.87	62.39	62.87	63.33	63.71	64.06	64.42	64.82	65.23	65.59	65.88	66.13	66.44	66.73	67.03	67.29	67.48	67.73	67.91	68.11	68.31	68.48	68.64	68.77	68.91	69.05	69.24
53.29	54.15	55.07	55.86	56.75	57.37	58.27	58.91	59.67	60.39	60.88	61.36	61.80	62.25	62.66	63.05	63.45	63.89	64.34	64.75	64.96	65.16	65.40	65.63	65.87	66.09	66.28	66.54	66.72	66.92	67.13	67.32	67.50	67.67	67.84	68.01	68.32
52.26	53.01	53.82	54.65	55.40	56.28	57.13	57.73	58.45	59.14	59.55	60.10	60.53	61.00	61.39	61.78	62.17	62.61	63.05	63.49	63.74	63.96	64.24	64.51	64.78	65.05	65.24	65.51	65.70	65.92	66.14	66.35	66.50	66.64	66.79	66.93	67.29
50.93	51.76	52.65	53.47	54.20	55.10	56.02	56.71	57.33	57.93	58.33	58.88	59.34	59.83	60.20	60.57	60.95	61.37	61.78	62.21	62.49	62.75	63.06	63.36	63.67	63.97	64.15	64.40	64.57	64.77	64.97	65.17	65.34	65.50	65.66	65.83	66.26
49.70	50.51	51.38	52.30	53.16	54.11	54.90	55.46	56.13	56.80	57.26	57.84	58.33	58.86	59.26	59.66	60.06	60.50	60.95	61.41	61.66	61.87	62.13	62.38	62.63	62.90	63.07	63.31	63.48	63.67	63.87	64.08	64.24	64.39	64.56	64.72	65.06
48.66	49.54	50.48	51.30	52.02	52.90	53.74	54.35	54.94	55.54	55.95	56.51	56.99	57.51	57.93	58.36	58.79	59.26	59.74	60.24	60.53	60.76	61.04	61.31	61.58	61.87	62.05	62.29	62.46	62.65	62.85	63.06	63.20	63.36	63.51	63.66	64.22
47.72	48.47	49.28	50.09	50.84	51.76	52.64	53.30	53.87	54.34	54.82	55.38	55.87	56.42	56.84	57.27	57.69	58.16	58.63	59.14	59.40	59.66	59.94	60.20	60.47	60.77	60.93	61.19	61.37	61.58	61.78	62.01	62.16	62.34	62.52	62.69	63.19
46.51	47.34	48.22	49.04	49.76	50.65	51.46	52.05	52.68	53.26	53.82	54.40	54.91	55.48	55.89	56.30	56.70	57.14	57.59	58.08	58.35	58.59	58.86	59.11	59.37	59.62	59.83	60.11	60.30	60.52	60.74	60.96	61.17	61.34	61.50	61.67	62.21
45.56	46.35	47.18	47.99	48.74	49.65	50.49	51.11	51.76	52.37	52.95	53.46	53.89	54.40	54.73	55.17	55.56	56.00	56.43	56.91	57.20	57.47	57.76	58.05	58.33	58.61	58.86	59.15	59.37	59.61	59.85	60.09	60.33	60.48	60.64	60.79	61.18
